,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Beijing,English,1.4112786088860305e-05,1.4909569205423815e-05,7.967831165635097e-07,58.78942874784361,2022-02-28
Beijing,Polish,2.7610089893764187e-05,3.076154943312793e-05,3.1514595393637398e-06,41.38352515090568,2022-03-14
Beijing,Russian,2.1874362941444267e-05,2.549057779382555e-05,3.616214852381282e-06,20.729177006020127,2022-03-14
Beijing,Ukrainian,2.121489966145285e-05,2.331391614291297e-05,2.099016481460119e-06,-12.757005948280364,2022-03-14
Beijing,Lithuanian,5.8940692940021486e-05,6.504565344946627e-05,6.104960509444789e-06,127.77267130486645,2022-03-14
Beijing,German,1.4994663273868465e-05,1.4788699230259635e-05,-2.0596404360882984e-07,19.027958299188175,2022-02-28
Beijing,Japanese,1.2724245748952982e-05,1.2371497858328635e-05,-3.5274789062434703e-07,26.836115506669202,2022-02-28
Beijing,Spanish; Castilian,1.706608603264499e-05,2.1129021940305232e-05,4.062935907660242e-06,47.59157019317837,2022-02-28
Beijing,French,1.60692689785302e-05,1.3266055951529252e-05,-2.8032130270009466e-06,43.23964516229668,2022-02-28
Beijing,Italian,1.702114250844557e-05,1.709040279500734e-05,6.926028656176967e-08,49.26842108489229,2022-02-28
Beijing,Chinese,7.117195104674459e-05,8.165478183561638e-05,1.0482830788871792e-05,15.694267884960134,2022-03-07
Beijing,Persian,1.8750578134804527e-05,2.1617765948999925e-05,2.8671878141953973e-06,53.00844082009426,2022-02-28
Beijing,Portuguese,1.8740976235508197e-05,2.1733222970046306e-05,2.9922467345381093e-06,63.245268332741865,2022-03-07
Beijing,Arabic,1.5352963171261608e-05,1.7528629632142023e-05,2.1756664608804154e-06,79.72662979500882,2022-03-14
Beijing,Turkish,2.081305106080319e-05,2.535565966428519e-05,4.542608603481998e-06,70.32871907472385,2022-03-14
Beijing,Indonesian,1.8700257144538404e-05,2.3466007496117187e-05,4.765750351578783e-06,91.35675078801233,2022-02-28
Beijing,Dutch; Flemish,2.229606065321723e-05,2.3696455396822396e-05,1.4003947436051672e-06,46.448323700069174,2022-02-28
Jakarta,English,1.0033920191673992e-05,1.2482286452761247e-05,2.448366261087256e-06,32.89974266367419,2022-03-21
Jakarta,Polish,1.3550895339684482e-05,1.830299537519972e-05,4.7521000355152375e-06,71.9762259535269,2022-03-21
Jakarta,Russian,9.517471602841936e-06,1.299028523153634e-05,3.4728136286944034e-06,31.01087350892282,2022-03-21
Jakarta,Ukrainian,7.980691116877272e-06,9.195887787943035e-06,1.215196671065763e-06,12.425515152654555,2022-03-21
Jakarta,Lithuanian,2.2449360546878724e-05,2.7600727171193635e-05,5.15136662431491e-06,240.0466061195362,2022-03-21
Jakarta,German,1.0056872472578658e-05,1.319480798791887e-05,3.137935515340212e-06,41.92429063733232,2022-03-14
Jakarta,Japanese,6.169042630728963e-06,8.265139047675639e-06,2.096096416946676e-06,15.329673373749841,2022-03-14
Jakarta,Spanish; Castilian,7.850560287035269e-06,1.1015564622171397e-05,3.165004335136128e-06,46.93843421009127,2022-03-21
Jakarta,French,8.80824739893305e-06,9.78898399901626e-06,9.807366000832095e-07,8.916288234982384,2022-03-14
Jakarta,Italian,8.512236661417266e-06,1.2646717944863535e-05,4.134481283446269e-06,60.12049678800781,2022-03-14
Jakarta,Chinese,1.3248812100536713e-05,1.972700944273046e-05,6.478197342193749e-06,25.2973078968322,2022-03-21
Jakarta,Persian,6.148009158166089e-06,9.317638631858255e-06,3.1696294736921654e-06,73.81227580074379,2022-03-14
Jakarta,Portuguese,7.24973352183089e-06,1.0445974143912938e-05,3.196240622082047e-06,37.72843913009949,2022-03-21
Jakarta,Arabic,8.867851541047299e-06,1.3290432380381055e-05,4.422580839333756e-06,40.05030619179888,2022-02-28
Jakarta,Turkish,1.2896338869931852e-05,1.4515107827685583e-05,1.618768957753731e-06,47.912516972987554,2022-02-28
Jakarta,Indonesian,0.00038895144922049805,0.0004656634482090344,7.671199898853635e-05,35.76424549425816,2022-03-21
Jakarta,Dutch; Flemish,2.0163875321498745e-05,2.5349319834457574e-05,5.1854445129588295e-06,16.09228272850911,2022-03-07
Kinshasa,English,6.301147402120895e-06,6.86900453107581e-06,5.678571289549149e-07,-5.9804102687697425,2022-03-07
Kinshasa,Polish,1.1295989476728691e-05,1.1527564106369653e-05,2.3157462964096234e-07,5.5525859535841215,2022-03-21
Kinshasa,Russian,6.568041252474148e-06,7.846554059613347e-06,1.278512807139199e-06,-12.722942389082858,2022-03-14
Kinshasa,Ukrainian,3.900469616541832e-06,4.852413150664973e-06,9.519435341231415e-07,-12.771429960789337,2022-03-07
Kinshasa,Lithuanian,7.119282148542398e-06,9.066186018890894e-06,1.9469038703484963e-06,8.475145850580956,2022-03-21
Kinshasa,German,7.640518527077454e-06,1.1099240728801998e-05,3.4587222017245435e-06,31.38071774474018,2022-03-21
Kinshasa,Japanese,2.5386797386635524e-06,2.8130879405975768e-06,2.7440820193402436e-07,3.718319930008196,2022-03-07
Kinshasa,Spanish; Castilian,4.71366623950214e-06,5.345510025814546e-06,6.318437863124059e-07,93.15070282254948,2022-03-21
Kinshasa,French,2.9115478530293185e-05,3.104446468803138e-05,1.928986157738192e-06,19.020913961048613,2022-03-21
Kinshasa,Italian,8.310547312743736e-06,8.773942822242992e-06,4.6339550949925667e-07,2.444095036899241,2022-03-21
