,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Aachen,English,4.795161102434145e-06,5.409973244075085e-06,6.1481214164094e-07,25.709033560727423,2022-03-14
Aachen,Polish,1.913028553185601e-05,2.5070188943190197e-05,5.939903411334187e-06,23.296575021035615,2022-03-21
Aachen,Russian,7.076901912482036e-06,8.689919359082181e-06,1.6130174466001445e-06,23.491476973693693,2022-03-21
Aachen,Ukrainian,5.00265140524478e-06,1.2114831362923134e-05,7.112179957678354e-06,275.8066129311113,2022-03-21
Aachen,Lithuanian,1.6927666201469322e-05,1.4546835939793714e-05,-2.3808302616756076e-06,68.61453252617638,2022-03-07
Aachen,German,3.0941988836346234e-05,3.558577829362709e-05,4.643789457280855e-06,-0.9620742350171074,2022-03-14
Aachen,Japanese,1.6451527688861188e-06,2.0959330443579893e-06,4.507802754718705e-07,67.0038463402121,2022-03-07
Aachen,Spanish; Castilian,8.02913894083261e-06,1.0064193560710107e-05,2.0350546198774974e-06,69.68364271318868,2022-03-07
Aachen,French,1.5901001840392895e-05,1.6174473719543747e-05,2.7347187915085166e-07,27.36204296283029,2022-03-14
Aachen,Italian,1.4079717033291513e-05,1.6829407641880376e-05,2.7496906085888623e-06,29.756741774020746,2022-03-07
Aachen,Chinese,3.859695194007701e-06,4.791897821613765e-06,9.322026276060636e-07,48.02472932995738,2022-03-07
Aachen,Persian,4.039453858456593e-06,5.10555525170937e-06,1.0661013932527768e-06,53.82807629432784,2022-03-07
Aachen,Portuguese,5.635191423885171e-06,8.314488392709533e-06,2.679296968824362e-06,77.59619511234168,2022-03-21
Aachen,Arabic,4.083484194333127e-06,4.7799795508744155e-06,6.964953565412885e-07,60.040064066320944,2022-03-21
Aachen,Turkish,6.630166979725855e-06,8.55726333452611e-06,1.9270963548002554e-06,37.67829564249754,2022-03-21
Aachen,Indonesian,1.9934731432527853e-06,2.8585104789211872e-06,8.65037335668402e-07,83.41552330088098,2022-02-28
Aachen,Dutch; Flemish,2.627780485851556e-05,3.743448530279687e-05,1.115668044428131e-05,60.74775025638488,2022-03-21
