Location,2022,2023,2024
Białystok,3269,3313,3291
Bydgoszcz,9245,9106,9589
Częstochowa,4685,4861,5120
Gdańsk,16499,17049,18161
Gdynia,8754,8366,8646
Gliwice,4934,5063,5524
Katowice,10520,11066,11894
Kielce,3385,3825,4178
Kraków,29491,31806,33847
Lublin,8418,9675,10912
Poznań,25484,24149,24192
Radom,2598,2774,3141
Rzeszów,5948,7124,7881
Sosnowiec,4772,4909,5405
Szczecin,13959,13881,14482
Toruń,4282,4061,4167
Warsaw,100117,105400,112194
Wrocław,42639,48308,56096
Łódź,16009,15965,16110
