,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Athens,English,1.132599419211425e-05,1.3772189302608189e-05,2.4461951104939386e-06,14.132442736445894,2022-03-21
Athens,Polish,3.2035588657792704e-05,4.142227076729338e-05,9.386682109500672e-06,8.260007893591581,2022-03-14
Athens,Russian,1.9066251952608367e-05,1.772479451875425e-05,-1.3414574338541174e-06,-17.99078921543006,2022-03-21
Athens,Ukrainian,2.8976672842258012e-05,2.768544659237707e-05,-1.2912262498809433e-06,-10.720067379413578,2022-03-21
Athens,Lithuanian,8.155141925927033e-05,0.00010834610237909212,2.6794683119821792e-05,-0.45587183574117285,2022-03-21
Athens,German,1.857767292107668e-05,2.2827519144683554e-05,4.249846223606873e-06,15.2303023903958,2022-03-21
Athens,Japanese,4.512371881630882e-06,4.58366517976959e-06,7.12932981387081e-08,12.28400257771849,2022-03-07
Athens,Spanish; Castilian,2.2276220720092277e-05,2.501668473595656e-05,2.7404640158642835e-06,-3.4005865383847644,2022-03-21
Athens,French,1.9549731060380793e-05,2.1273698639633055e-05,1.7239675792522618e-06,3.679483025402641,2022-03-07
Athens,Italian,2.3317605138898545e-05,2.75324847995541e-05,4.2148796606555565e-06,9.564276641539937,2022-03-21
Athens,Chinese,1.1092061283627642e-05,1.3151078261333754e-05,2.0590169777061114e-06,24.798366648207626,2022-03-07
Athens,Persian,1.3441031786052705e-05,1.8077043324294344e-05,4.636011538241639e-06,30.989132631970627,2022-03-21
Athens,Portuguese,2.5247373070496205e-05,2.7973630268761096e-05,2.7262571982648905e-06,0.07496766090044904,2022-03-21
Athens,Arabic,2.484406538849448e-05,2.709306725431633e-05,2.24900186582185e-06,38.083991349891,2022-03-07
Athens,Turkish,2.6556311658597392e-05,2.9161394607981356e-05,2.605082949383964e-06,28.554249624296713,2022-03-14
Athens,Indonesian,2.1739841209177524e-05,2.1409180715685917e-05,-3.3066049349160756e-07,22.394071644596902,2022-03-21
Athens,Dutch; Flemish,2.8036190754569317e-05,3.615996828392457e-05,8.123777529355252e-06,104.50386055705549,2022-03-07
Baku,English,6.4183315502262886e-06,1.020244646289806e-05,3.7841149126717706e-06,99.30190484498735,2022-02-28
Baku,Polish,1.6763092457635622e-05,2.5112574627405794e-05,8.349482169770173e-06,244.6906521617743,2022-02-28
Baku,Russian,2.9347723373935854e-05,3.485511563763562e-05,5.5073922636997665e-06,13.93247483680813,2022-03-07
Baku,Ukrainian,1.527551475825349e-05,1.5365379564937795e-05,8.986480668430458e-08,35.73529195568008,2022-03-07
Baku,Lithuanian,1.7787951356559992e-05,2.8415550160137643e-05,1.062759880357765e-05,210.64785669589958,2022-03-07
Baku,German,7.658468728593303e-06,1.0401203574437048e-05,2.742734845843745e-06,141.55048774822814,2022-02-28
Baku,Japanese,2.5217261596696796e-06,2.7987362161935247e-06,2.770100565238451e-07,96.93418224603944,2022-03-21
Baku,Spanish; Castilian,6.011206983271987e-06,6.975999683429888e-06,9.647927001579012e-07,203.7281836150353,2022-02-28
Baku,French,6.921291676282374e-06,6.585142849805654e-06,-3.361488264767194e-07,41.7148017766841,2022-03-07
Baku,Italian,8.214089184416748e-06,1.0362934969176828e-05,2.1488457847600796e-06,223.01052835956702,2022-02-28
Baku,Chinese,3.955488005507331e-06,5.007056061206009e-06,1.0515680556986777e-06,136.18233331450674,2022-02-28
Baku,Persian,3.238885899888865e-05,4.091075692557962e-05,8.52189792669097e-06,63.703795697978634,2022-03-07
Baku,Portuguese,5.458969416743344e-06,7.210430251773771e-06,1.7514608350304267e-06,175.2188219301268,2022-02-28
Baku,Arabic,1.2402726983653431e-05,1.8614814784811183e-05,6.212087801157752e-06,149.67771507176758,2022-02-28
Baku,Turkish,3.599840196481727e-05,3.604081738559287e-05,4.241542077560291e-08,14.59617824042847,2022-03-21
Baku,Indonesian,4.185348966316188e-06,5.890440052240974e-06,1.705091085924786e-06,107.40369142786452,2022-02-28
Baku,Dutch; Flemish,9.97119102768922e-06,1.2936991310694076e-05,2.965800283004856e-06,137.03200380441055,2022-02-28
Belfast,English,8.699927436484628e-06,1.0482653273674551e-05,1.7827258371899238e-06,104.41611211969092,2022-03-21
Belfast,Polish,1.3323874621782065e-05,2.0102251828138927e-05,6.778377206356862e-06,123.91411700671178,2022-03-14
Belfast,Russian,7.3640856322796665e-06,9.183900349830227e-06,1.8198147175505602e-06,69.90292437079391,2022-03-21
Belfast,Ukrainian,5.865519249127437e-06,1.0610764705205688e-05,4.745245456078251e-06,29.742759226217007,2022-03-21
Belfast,Lithuanian,1.071813063098826e-05,1.7682983443548207e-05,6.964852812559947e-06,114.827404403721,2022-03-07
Belfast,German,8.472007389126155e-06,1.0839928832852244e-05,2.367921443726089e-06,99.89209910439773,2022-03-21
Belfast,Japanese,2.966411992797426e-06,4.374400742485812e-06,1.4079887496883859e-06,983.5239307245324,2022-03-21
Belfast,Spanish; Castilian,6.993280188531526e-06,1.25152678654314e-05,5.521987676899875e-06,351.464255719401,2022-03-07
Belfast,French,6.206574496966529e-06,7.762991307400405e-06,1.5564168104338764e-06,228.16523637351446,2022-02-28
Belfast,Italian,9.85588787674241e-06,1.4028399948916896e-05,4.1725120721744854e-06,371.1885931386835,2022-02-28
Belfast,Chinese,5.117845163220395e-06,7.082073832520062e-06,1.964228669299666e-06,173.50386942364162,2022-03-07
Belfast,Persian,6.241532586349351e-06,8.589422192337562e-06,2.3478896059882108e-06,111.43188418999372,2022-02-28
Belfast,Portuguese,7.0194231583099315e-06,1.1529251898408078e-05,4.509828740098147e-06,305.3728769174607,2022-03-07
Belfast,Arabic,4.869119744152664e-06,5.389879849925729e-06,5.207601057730647e-07,111.33360564102826,2022-03-21
Belfast,Turkish,7.420895623987125e-06,8.781676788214934e-06,1.3607811642278091e-06,128.80727721225745,2022-03-21
Belfast,Indonesian,2.578561704898419e-06,2.9116429433152604e-06,3.330812384168416e-07,167.03142362922375,2022-02-28
Belfast,Dutch; Flemish,1.0256811533674569e-05,1.548126194431895e-05,5.224450410644382e-06,154.17560197243367,2022-03-14
Belgrade,English,8.724759407991115e-06,1.0521737965348657e-05,1.7969785573575419e-06,177.5620721131135,2022-02-28
Belgrade,Polish,1.816896440203023e-05,2.852903056206738e-05,1.0360066160037151e-05,537.3297701034902,2022-03-14
Belgrade,Russian,1.8215694471045602e-05,3.15244861361713e-05,1.3308791665125699e-05,523.539907442797,2022-02-28
Belgrade,Ukrainian,1.2080315551877437e-05,1.808726280073647e-05,6.006947248859032e-06,225.76126358248968,2022-03-21
Belgrade,Lithuanian,2.560020669213034e-05,6.432708402797296e-05,3.8726877335842615e-05,491.3616257909739,2022-03-07
Belgrade,German,1.4504211417806293e-05,2.001815880038468e-05,5.513947382578387e-06,180.07661374052876,2022-02-28
Belgrade,Japanese,4.351426011004935e-06,4.646354718872708e-06,2.9492870786777295e-07,206.40565991493241,2022-02-28
Belgrade,Spanish; Castilian,7.147616772744776e-06,1.0869839382716512e-05,3.7222226099717355e-06,594.6889450765259,2022-03-14
Belgrade,French,8.153811902046477e-06,1.027512676328004e-05,2.121314861233564e-06,355.301311709172,2022-02-28
Belgrade,Italian,1.2798610893894437e-05,1.7560849209181505e-05,4.762238315287068e-06,365.805277399549,2022-02-28
Belgrade,Chinese,6.717218565746736e-06,8.760450865069154e-06,2.0432322993224177e-06,232.5211474846549,2022-02-28
Belgrade,Persian,7.4361547843387475e-06,1.0238221830001897e-05,2.8020670456631493e-06,283.6298588677726,2022-02-28
Belgrade,Portuguese,7.814250367964367e-06,1.0364616547603828e-05,2.550366179639461e-06,435.80884957192484,2022-03-14
Belgrade,Arabic,1.1901426255142257e-05,1.4903465509346881e-05,3.002039254204624e-06,278.9712080595304,2022-02-28
Belgrade,Turkish,2.925151688472669e-05,4.1634169974591464e-05,1.2382653089864775e-05,140.31327481940704,2022-03-21
Belgrade,Indonesian,6.315701031460423e-06,8.669552425712586e-06,2.3538513942521627e-06,271.4058570877845,2022-02-28
Belgrade,Dutch; Flemish,1.388428517555721e-05,2.3893163602487667e-05,1.0008878426930457e-05,769.6259923726087,2022-03-14
Berlin,English,1.7382760700934946e-05,2.070883612752557e-05,3.326075426590624e-06,34.93147196081572,2022-02-28
Berlin,Polish,7.313870755180271e-05,8.56868642368199e-05,1.254815668501719e-05,18.148847169873683,2022-03-21
Berlin,Russian,3.4381046013043224e-05,3.9364736749732834e-05,4.98369073668961e-06,27.859659888010825,2022-03-14
Berlin,Ukrainian,4.177233379934502e-05,6.094108736955397e-05,1.916875357020895e-05,43.34243469165775,2022-03-07
Berlin,Lithuanian,9.880785115560829e-05,0.00013289634811481163,3.408849695920334e-05,85.54190357043841,2022-03-14
Berlin,German,0.00014355514376610188,0.0001508385058055239,7.283362039422033e-06,-2.6755632502130644,2022-03-21
Berlin,Japanese,1.0044799060668853e-05,1.088526797080138e-05,8.404689101325267e-07,73.69594359558292,2022-02-28
Berlin,Spanish; Castilian,2.459443634118827e-05,2.981941908395806e-05,5.2249827427697906e-06,23.16379568360052,2022-03-21
Berlin,French,2.434070674869427e-05,2.5162544953221967e-05,8.21838204527696e-07,12.954980511134483,2022-03-21
Berlin,Italian,3.1835748895543895e-05,3.766893712664601e-05,5.833188231102115e-06,27.989205678068952,2022-03-07
Berlin,Chinese,1.538550382708702e-05,1.8866412672640704e-05,3.480908845553683e-06,61.30039310818254,2022-02-28
Berlin,Persian,2.8070201918395826e-05,3.429931942879134e-05,6.229117510395512e-06,50.37876504014675,2022-02-28
Berlin,Portuguese,2.4632957815930092e-05,3.29451519511794e-05,8.312194135249307e-06,56.50511355795527,2022-03-21
Berlin,Arabic,2.49751859910813e-05,2.815563591585367e-05,3.180449924772369e-06,42.300696517867365,2022-02-28
Berlin,Turkish,4.811736825178622e-05,5.9845091856896825e-05,1.1727723605110603e-05,51.40146907293111,2022-03-21
Berlin,Indonesian,1.616067756231519e-05,1.9172318843269853e-05,3.0116412809546645e-06,60.752806931441384,2022-02-28
Berlin,Dutch; Flemish,6.0846461771192525e-05,8.204818511339896e-05,2.1201723342206434e-05,74.13082874909318,2022-03-14
Bern,English,4.515415657988555e-06,5.6251244515316246e-06,1.1097087935430698e-06,48.6802228449511,2022-02-28
Bern,Polish,1.5419831885938718e-05,1.963028772457628e-05,4.210455838637563e-06,26.301791485907145,2022-03-14
Bern,Russian,1.038199119399831e-05,1.2424205928778346e-05,2.042214734780037e-06,43.246106487749,2022-03-14
Bern,Ukrainian,1.031972867036801e-05,1.7515439030613118e-05,7.195710360245108e-06,157.1638059189122,2022-03-21
Bern,Lithuanian,2.4948914698221286e-05,3.6363327493005076e-05,1.1414412794783791e-05,158.95106073084065,2022-03-14
Bern,German,2.2567306219409556e-05,2.590552625708731e-05,3.338220037677753e-06,11.535738069307433,2022-03-21
Bern,Japanese,3.046596432227755e-06,3.4542479016314376e-06,4.0765146940368273e-07,72.58983524726459,2022-02-28
Bern,Spanish; Castilian,7.015775536624631e-06,9.012519087333306e-06,1.996743550708675e-06,50.93626456141962,2022-02-28
Bern,French,1.2619774250197806e-05,1.2895043212050408e-05,2.7526896185260144e-07,8.16103480345609,2022-03-21
Bern,Italian,1.1886292426867878e-05,1.452053657449842e-05,2.6342441476305426e-06,32.02266247229535,2022-02-28
Bern,Chinese,4.770715112681636e-06,7.118706344027724e-06,2.3479912313460878e-06,91.43604201730766,2022-02-28
Bern,Persian,8.903407175536624e-06,1.3351110725449518e-05,4.447703549912895e-06,152.59078335546775,2022-02-28
Bern,Portuguese,8.196241945091244e-06,1.0601300634095515e-05,2.4050586890042703e-06,33.009170679774535,2022-02-28
Bern,Arabic,9.274142485666776e-06,1.6089859987790004e-05,6.815717502123228e-06,8.694831140581849,2022-03-07
Bern,Turkish,1.3861158644466743e-05,1.7309251586993e-05,3.4480929425262557e-06,73.31445253686518,2022-03-14
Bern,Indonesian,2.606492205455048e-06,5.12362717067924e-06,2.5171349652241915e-06,159.76190593742055,2022-02-28
Bern,Dutch; Flemish,1.3448317531018837e-05,1.5494166093793342e-05,2.0458485627745055e-06,-3.313400873750083,2022-03-21
Bratislava,English,4.97220372827838e-06,7.489443519986415e-06,2.517239791708035e-06,88.75085881986813,2022-02-28
Bratislava,Polish,2.1125260326368615e-05,3.602328883223534e-05,1.4898028505866726e-05,50.52625017147101,2022-03-14
Bratislava,Russian,1.0833221322904295e-05,1.5764552000017276e-05,4.931330677112981e-06,142.70619679503392,2022-03-07
Bratislava,Ukrainian,1.7700086526903823e-05,3.3450618186621874e-05,1.575053165971805e-05,321.6410794707185,2022-03-07
Bratislava,Lithuanian,1.8006382733079384e-05,6.05982596211135e-05,4.2591876888034115e-05,93.02673757205378,2022-03-07
Bratislava,German,1.6636474707499744e-05,2.6350979654750148e-05,9.714504947250403e-06,56.54749998895561,2022-03-14
Bratislava,Japanese,1.7412915807087363e-06,2.128991977819494e-06,3.877003971107578e-07,183.33295482121642,2022-02-28
Bratislava,Spanish; Castilian,4.910400049799963e-06,8.719528498650658e-06,3.809128448850695e-06,140.81238524769057,2022-02-28
Bratislava,French,5.86853423326189e-06,7.755879031371726e-06,1.8873447981098362e-06,108.95239793287685,2022-03-07
Bratislava,Italian,9.131958600209776e-06,1.5249780486507044e-05,6.117821886297268e-06,183.50921953218497,2022-03-07
Bratislava,Chinese,3.6988605500925656e-06,6.0872168441819796e-06,2.388356294089414e-06,169.81142621303226,2022-02-28
Bratislava,Persian,3.398549289320006e-06,3.7337826839235163e-06,3.352333946035101e-07,74.90028763122977,2022-02-28
Bratislava,Portuguese,6.106668077855027e-06,9.716876897823244e-06,3.6102088199682176e-06,260.9219672729208,2022-02-28
Bratislava,Arabic,3.1121597014531875e-06,5.223213789448715e-06,2.1110540879955276e-06,298.51702087830944,2022-02-28
Bratislava,Turkish,6.3865652993253475e-06,1.1639372541239075e-05,5.252807241913728e-06,134.36069285569036,2022-03-21
Bratislava,Indonesian,1.7374322041380422e-06,3.0006817166839207e-06,1.2632495125458785e-06,281.2165778410467,2022-02-28
Bratislava,Dutch; Flemish,1.389184519359907e-05,2.514346789550164e-05,1.125162270190257e-05,172.59504609982196,2022-02-28
Brussels,English,7.797953281528666e-06,1.1179209293820358e-05,3.381256012291692e-06,133.303601978881,2022-03-21
Brussels,Polish,3.694431616556887e-06,5.65770499526038e-06,1.963273378703493e-06,89.86332594500064,2022-03-21
Brussels,Russian,1.9287616531044317e-06,2.7763586069650104e-06,8.475969538605787e-07,90.25232094554876,2022-03-21
Brussels,Ukrainian,1.5924269962701017e-06,3.450706569242035e-06,1.8582795729719331e-06,169.34240542339606,2022-03-21
Brussels,Lithuanian,3.761828599803507e-06,4.703845852128141e-06,9.420172523246342e-07,116.95029170116192,2022-03-21
Brussels,German,3.827094438900384e-06,4.65180630542593e-06,8.247118665255462e-07,36.78711647671224,2022-03-21
Brussels,Japanese,5.520890327034919e-06,6.2587179315016026e-06,7.378276044666835e-07,287.36570526823635,2022-03-21
Brussels,Spanish; Castilian,2.6519771783633003e-06,5.326525044473755e-06,2.674547866110455e-06,83.76870580571962,2022-03-21
Brussels,French,1.2951680490630638e-05,1.1560218528633284e-05,-1.3914619619973547e-06,2.707983194367758,2022-03-21
