City,Relationship,Cause,Effect,Lag,F-statistic,p-value,Chi-squared test (p-value)
Radom,Wikipedia views in English → Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),8,0.4613,0.8829,3.8689 (p = 0.8688)
Częstochowa,Wikipedia views in English → Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),8,1.1671,0.3182,9.7876 (p = 0.2803)
Rzeszów,Wikipedia views in English → Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),8,1.2449,0.2718,10.4404 (p = 0.2355)
Poznań,Wikipedia views in English → Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),8,2.6507,0.0078,22.2295 (p = 0.0045)
Gdynia,Wikipedia views in English → Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),8,0.6969,0.6944,5.8442 (p = 0.6647)
Toruń,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.6589,0.7276,5.5258 (p = 0.7002)
Kielce,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.5343,0.8306,4.4807 (p = 0.8114)
Sosnowiec,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.9291,0.4923,7.7914 (p = 0.4541)
Katowice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.9634,0.4645,8.0794 (p = 0.4258)
Bydgoszcz,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,1.2281,0.2813,10.2997 (p = 0.2446)
Łódź,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.3698,0.9361,3.1015 (p = 0.9278)
Gdańsk,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.7811,0.6196,6.5508 (p = 0.5858)
Szczecin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.6240,0.7577,5.2330 (p = 0.7324)
Kraków,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,1.1065,0.3580,9.2796 (p = 0.3193)
Lublin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.3327,0.9531,2.7900 (p = 0.9468)
Warsaw,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,2.5389,0.0107,21.2921 (p = 0.0064)
Białystok,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.8330,0.5739,6.9860 (p = 0.5381)
Gliwice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,9,0.6552,0.7493,6.2179 (p = 0.7179)
Wrocław,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.8468,0.5619,7.1020 (p = 0.5257)
Radom,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,1.2716,0.2571,10.6640 (p = 0.2215)
Częstochowa,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,1.3331,0.2257,11.1797 (p = 0.1917)
Rzeszów,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,0.9109,0.5074,7.6392 (p = 0.4695)
Poznań,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,8,1.2357,0.2770,10.3633 (p = 0.2405)
Gdynia,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,16,1.1271,0.3282,19.8475 (p = 0.2272)
Toruń,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.5834,0.7916,4.8925 (p = 0.7690)
Kielce,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,1.0642,0.3877,8.9246 (p = 0.3487)
Sosnowiec,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.9262,0.4947,7.7673 (p = 0.4565)
Katowice,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.8186,0.5865,6.8654 (p = 0.5512)
Bydgoszcz,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.6402,0.7438,5.3691 (p = 0.7175)
Łódź,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.4640,0.8811,3.8916 (p = 0.8668)
Gdańsk,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.9126,0.5060,7.6530 (p = 0.4681)
Szczecin,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.5037,0.8534,4.2241 (p = 0.8364)
Kraków,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.3700,0.9360,3.1032 (p = 0.9277)
Lublin,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.8901,0.5249,7.4644 (p = 0.4875)
Warsaw,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,1.5024,0.1549,12.5997 (p = 0.1264)
Białystok,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,1.2060,0.2943,10.1143 (p = 0.2571)
Gliwice,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),9,0.5463,0.8402,5.1848 (p = 0.8179)
Wrocław,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.5366,0.8288,4.4999 (p = 0.8094)
Radom,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.8702,0.5418,7.2979 (p = 0.5049)
Częstochowa,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,1.7275,0.0908,14.4876 (p = 0.0699)
Rzeszów,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.7014,0.6903,5.8824 (p = 0.6604)
Poznań,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),8,0.5374,0.8282,4.5068 (p = 0.8088)
Gdynia,Wikipedia views in Polish → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Polish,Ukrainian refugees in Poland (UNHCR),16,1.3944,0.1419,24.5558 (p = 0.0780)
Toruń,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,6.2105,0.0000,52.0838 (p = 0.0000)
Kielce,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,4.1887,0.0001,35.1282 (p = 0.0000)
Sosnowiec,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,3.5258,0.0006,29.5685 (p = 0.0003)
Katowice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,5.9935,0.0000,50.2635 (p = 0.0000)
