City,Relationship,Cause,Effect,Lag,F-statistic,p-value,Chi-squared test (p-value)
Kraków,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.4589,0.1710,12.2345 (p = 0.1410)
Lublin,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,0.3777,0.9322,3.1672 (p = 0.9234)
Warsaw,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.4339,0.1809,12.0251 (p = 0.1501)
Białystok,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.5287,0.1458,12.8204 (p = 0.1182)
Gliwice,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.0073,0.4301,8.4473 (p = 0.3910)
Wrocław,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),17,2.9973,0.0001,56.4421 (p = 0.0000)
Radom,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),15,1.9812,0.0160,32.5010 (p = 0.0055)
Częstochowa,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.8406,0.0686,15.4362 (p = 0.0512)
Rzeszów,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,0.4189,0.9095,3.5127 (p = 0.8982)
Poznań,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.3899,0.1994,11.6565 (p = 0.1672)
Gdynia,Wikipedia views in Ukrainian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),8,1.5686,0.1328,13.1547 (p = 0.1066)
