month,total.total,timeRange.start,timeRange.end
2016-02-27T00:00:00.000Z,36707035,2016-02-27T00:00:00.000Z,2016-02-28T00:00:00.000Z
2016-02-28T00:00:00.000Z,37788422,2016-02-28T00:00:00.000Z,2016-02-29T00:00:00.000Z
2016-02-29T00:00:00.000Z,36924316,2016-02-29T00:00:00.000Z,2016-03-01T00:00:00.000Z
2016-03-01T00:00:00.000Z,35086961,2016-03-01T00:00:00.000Z,2016-03-02T00:00:00.000Z
2016-03-02T00:00:00.000Z,36091283,2016-03-02T00:00:00.000Z,2016-03-03T00:00:00.000Z
2016-03-03T00:00:00.000Z,35249477,2016-03-03T00:00:00.000Z,2016-03-04T00:00:00.000Z
2016-03-04T00:00:00.000Z,36250526,2016-03-04T00:00:00.000Z,2016-03-05T00:00:00.000Z
2016-03-05T00:00:00.000Z,37217496,2016-03-05T00:00:00.000Z,2016-03-06T00:00:00.000Z
2016-03-06T00:00:00.000Z,39297519,2016-03-06T00:00:00.000Z,2016-03-07T00:00:00.000Z
2016-03-07T00:00:00.000Z,38215849,2016-03-07T00:00:00.000Z,2016-03-08T00:00:00.000Z
2016-03-08T00:00:00.000Z,36728372,2016-03-08T00:00:00.000Z,2016-03-09T00:00:00.000Z
2016-03-09T00:00:00.000Z,37070725,2016-03-09T00:00:00.000Z,2016-03-10T00:00:00.000Z
2016-03-10T00:00:00.000Z,34832417,2016-03-10T00:00:00.000Z,2016-03-11T00:00:00.000Z
2016-03-11T00:00:00.000Z,34927428,2016-03-11T00:00:00.000Z,2016-03-12T00:00:00.000Z
2016-03-12T00:00:00.000Z,35463377,2016-03-12T00:00:00.000Z,2016-03-13T00:00:00.000Z
2016-03-13T00:00:00.000Z,37210905,2016-03-13T00:00:00.000Z,2016-03-14T00:00:00.000Z
2016-03-14T00:00:00.000Z,37033811,2016-03-14T00:00:00.000Z,2016-03-15T00:00:00.000Z
2016-03-15T00:00:00.000Z,35673191,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z
2016-03-16T00:00:00.000Z,35365228,2016-03-16T00:00:00.000Z,2016-03-17T00:00:00.000Z
2016-03-17T00:00:00.000Z,34864485,2016-03-17T00:00:00.000Z,2016-03-18T00:00:00.000Z
2016-03-18T00:00:00.000Z,35552062,2016-03-18T00:00:00.000Z,2016-03-19T00:00:00.000Z
2016-03-19T00:00:00.000Z,36964796,2016-03-19T00:00:00.000Z,2016-03-20T00:00:00.000Z
2016-03-20T00:00:00.000Z,37224170,2016-03-20T00:00:00.000Z,2016-03-21T00:00:00.000Z
2016-03-21T00:00:00.000Z,38160717,2016-03-21T00:00:00.000Z,2016-03-22T00:00:00.000Z
2016-03-22T00:00:00.000Z,35691019,2016-03-22T00:00:00.000Z,2016-03-23T00:00:00.000Z
2016-03-23T00:00:00.000Z,34877089,2016-03-23T00:00:00.000Z,2016-03-24T00:00:00.000Z
2016-03-24T00:00:00.000Z,33631443,2016-03-24T00:00:00.000Z,2016-03-25T00:00:00.000Z
