,country,capital,language
0,China,Beijin,['Chinese']
1,Japan,Tokyo,['Japanese']
2,DR Congo,Kinshasa,['French']
3,Indonesia,Jakarta,['Indonesian']
4,Egypt,Cairo,['Arabic']
