,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Gdańsk,English,5.506612329577954e-06,6.681163518916421e-06,1.1745511893384663e-06,63.019252856381684,2022-02-28
Gdańsk,Polish,0.00011569150840673017,0.0001401710294607899,2.447952105405973e-05,10.949981081647087,2022-03-21
Gdańsk,Russian,1.6394146401160823e-05,2.3339302152770192e-05,6.945155751609369e-06,183.19122586168265,2022-03-21
Gdańsk,Ukrainian,2.6934886192593005e-05,4.824364092978333e-05,2.1308754737190327e-05,259.65925726989855,2022-03-07
Gdańsk,Lithuanian,4.5678848140669355e-05,0.00014003874888323975,9.43599007425704e-05,86.07822290158138,2022-03-21
Gdańsk,German,2.0231684660510533e-05,2.662721585862116e-05,6.395531198110627e-06,43.35598521263382,2022-02-28
Gdańsk,Japanese,2.002211358687825e-06,2.374679879944004e-06,3.7246852125617906e-07,187.3463323632891,2022-02-28
Gdańsk,Spanish; Castilian,5.083873914495043e-06,6.1407118731784085e-06,1.0568379586833655e-06,123.79916847972873,2022-02-28
Gdańsk,French,5.680177546265758e-06,6.209622425925775e-06,5.294448796600168e-07,65.49937950531415,2022-02-28
Gdańsk,Italian,9.805779940113682e-06,1.0988231879029806e-05,1.1824519389161238e-06,172.6524658546806,2022-02-28
Gdańsk,Chinese,4.278776800665633e-06,5.308396342450077e-06,1.0296195417844439e-06,110.69909048462141,2022-02-28
Gdańsk,Persian,2.5199579555050354e-06,3.584996698255174e-06,1.0650387427501384e-06,120.5871688489693,2022-02-28
Gdańsk,Portuguese,3.584002623243597e-06,4.796139820176846e-06,1.2121371969332487e-06,116.15630713295988,2022-02-28
Gdańsk,Arabic,2.2807455083703905e-06,2.7969029403681747e-06,5.161574319977841e-07,169.97951836788127,2022-02-28
Gdańsk,Turkish,5.9113764807284645e-06,7.413259346363815e-06,1.501882865635351e-06,63.11468854472479,2022-03-07
Gdańsk,Indonesian,1.4354594754679975e-06,1.6354551822498147e-06,1.999957067818172e-07,58.40714210792481,2022-03-21
Gdańsk,Dutch; Flemish,1.8291262802474533e-05,2.333710348644288e-05,5.045840683968345e-06,86.14123686667095,2022-02-28
Gdynia,English,1.0777089187830428e-06,1.2947208678750706e-06,2.1701194909202784e-07,41.90494132239373,2022-03-07
Gdynia,Polish,6.0694358920203385e-05,7.52614317097542e-05,1.456707278955082e-05,4.879819042443834,2022-03-21
Gdynia,Russian,2.6928007815750698e-06,3.959497189220191e-06,1.2666964076451213e-06,174.13597356671863,2022-03-07
Gdynia,Ukrainian,5.688121581559668e-06,1.3187378438578176e-05,7.4992568570185085e-06,434.8921747687446,2022-03-07
Gdynia,Lithuanian,8.079704895743946e-06,1.63099952555716e-05,8.230290359827654e-06,68.61453252617638,2022-03-07
Gdynia,German,5.56397656991811e-06,6.288017469753071e-06,7.240408998349615e-07,35.83896480409208,2022-03-07
Gdynia,Japanese,4.071774510588572e-07,4.3894425730955695e-07,3.176680625069976e-08,94.82469724619833,2022-03-21
Gdynia,Spanish; Castilian,6.61752930572853e-07,8.258373649998849e-07,1.640844344270319e-07,131.32713016975512,2022-03-07
Gdynia,French,9.105760313413163e-07,1.0401438133683283e-06,1.29567782027012e-07,42.530787954170336,2022-02-28
Gdynia,Italian,1.227006251429532e-06,1.6293514313922628e-06,4.023451799627307e-07,114.85752270840841,2022-03-14
Gdynia,Chinese,7.522427302071501e-07,1.0121419660527932e-06,2.598992358456431e-07,107.89990074432217,2022-03-07
Gdynia,Persian,1.7627832733960905e-07,2.948802108703952e-07,1.1860188353078615e-07,694.5704036605432,2022-03-14
Gdynia,Portuguese,6.124166279589012e-07,8.031930639427767e-07,1.9077643598387546e-07,138.44256807577003,2022-03-07
Gdynia,Arabic,2.814020643993127e-07,3.536833407183838e-07,7.22812763190711e-08,121.33821403326208,2022-03-14
Gdynia,Turkish,8.891957931702427e-07,9.20076578953296e-07,3.088078578305333e-08,24.908787172867754,2022-03-14
Gdynia,Indonesian,1.9171339920414016e-07,2.888778808432532e-07,9.716448163911302e-08,60.36164395653203,2022-03-14
Gdynia,Dutch; Flemish,2.7176028193283966e-06,3.554421220127866e-06,8.368184007994695e-07,77.10496872655898,2022-02-28
Gliwice,English,7.413836205007081e-07,7.26213981068739e-07,-1.516963943196908e-08,8.930929915501661,2022-03-14
Gliwice,Polish,4.1271240136311015e-05,5.3404548155242956e-05,1.2133308018931942e-05,13.00327477452814,2022-03-21
Gliwice,Russian,2.385788477631577e-06,3.3153087534439555e-06,9.295202758123784e-07,171.65667170941057,2022-03-07
Gliwice,Ukrainian,6.337839551338423e-06,1.0072828549732222e-05,3.734988998393799e-06,340.787709935155,2022-03-07
Gliwice,Lithuanian,3.983456439841576e-06,7.1681930706526345e-06,3.184736630811059e-06,151.20560091713483,2022-03-21
Gliwice,German,5.555405873683517e-06,6.540702163688309e-06,9.85296290004792e-07,27.178207611800232,2022-02-28
Gliwice,Japanese,1.323613208768039e-07,1.7896112372489573e-07,4.659980284809182e-08,165.82475766833568,2022-03-07
Gliwice,Spanish; Castilian,3.9789719672987567e-07,4.882860540539042e-07,9.038885732402852e-08,91.85327561768814,2022-03-07
Gliwice,French,6.569098384937731e-07,7.102961432093602e-07,5.3386304715587056e-08,35.42704132639054,2022-02-28
Gliwice,Italian,1.0536291069255305e-06,1.369576786346783e-06,3.159476794212524e-07,234.77581250511417,2022-02-28
Gliwice,Chinese,1.4195050699681855e-07,2.455536376800791e-07,1.0360313068326053e-07,149.47988089318662,2022-03-07
Gliwice,Persian,8.523849175944095e-08,1.8115629926046442e-07,9.591780750102347e-08,247.6245516014876,2022-03-14
Gliwice,Portuguese,2.765935731270535e-07,4.7285425457101215e-07,1.9626068144395863e-07,152.1880808236674,2022-03-07
Gliwice,Arabic,1.2526419523610662e-07,2.0936082882837273e-07,8.409663359226612e-08,506.59227956698425,2022-02-28
Gliwice,Turkish,4.4271731030720357e-07,5.510853781184944e-07,1.0836806781129084e-07,11.871648161957404,2022-03-07
Gliwice,Indonesian,1.0344471237008076e-07,1.7589583036308003e-07,7.245111799299927e-08,inf,2022-03-21
Gliwice,Dutch; Flemish,1.4645860350623117e-06,1.939328280723316e-06,4.747422456610043e-07,105.39816408663465,2022-03-14
Katowice,English,1.7662837085462468e-06,2.4168530658701993e-06,6.505693573239525e-07,65.12078781107404,2022-02-28
Katowice,Polish,8.381985422540202e-05,0.00010851093308575065,2.469107886034863e-05,14.089134765590195,2022-03-21
Katowice,Russian,6.427849073419063e-06,1.0467422332559807e-05,4.039573259140744e-06,272.81901800688775,2022-03-07
Katowice,Ukrainian,1.4129635383128596e-05,3.062734328187726e-05,1.649770789874866e-05,599.7681592802855,2022-03-07
Katowice,Lithuanian,1.1591508903596055e-05,2.8328519789060213e-05,1.673701088546416e-05,172.50833539584062,2022-03-07
Katowice,German,9.165850274189826e-06,1.2431344979961766e-05,3.2654947057719393e-06,70.90480168857628,2022-02-28
Katowice,Japanese,4.1033041093202434e-07,5.288505408983058e-07,1.185201299662815e-07,149.82666063682814,2022-03-14
Katowice,Spanish; Castilian,1.4337156352531527e-06,1.9096316478655538e-06,4.7591601261240104e-07,116.42206689039001,2022-02-28
Katowice,French,1.9337267122178337e-06,2.2970100157888212e-06,3.6328330357098753e-07,93.86678537275456,2022-03-14
Katowice,Italian,3.1114543748922705e-06,5.76213017687979e-06,2.6506758019875194e-06,142.24132462222516,2022-03-14
Katowice,Chinese,9.071638858647748e-07,1.5231869002227531e-06,6.160230143579783e-07,104.48604826186778,2022-02-28
Katowice,Persian,4.0009074057996353e-07,5.889433365491864e-07,1.8885259596922284e-07,776.1639884188032,2022-02-28
Katowice,Portuguese,1.1953806257558007e-06,1.7462911785131814e-06,5.509105527573807e-07,106.05003147016339,2022-02-28
Katowice,Arabic,4.0062903857972053e-07,7.896151941171757e-07,3.8898615553745513e-07,205.54847394143002,2022-03-07
Katowice,Turkish,2.428656773690712e-06,3.7269470069461175e-06,1.2982902332554054e-06,145.1261644988673,2022-03-14
Katowice,Indonesian,2.5651869146532045e-07,4.4887165496793445e-07,1.92352963502614e-07,701.9361569213693,2022-03-21
Katowice,Dutch; Flemish,5.275335384331628e-06,7.517789478257389e-06,2.2424540939257608e-06,146.36368681280237,2022-03-14
Kielce,English,5.301263214431257e-07,6.564043282183711e-07,1.2627800677524543e-07,71.47991324598296,2022-02-28
Kielce,Polish,5.330313517625779e-05,6.859527424989472e-05,1.5292139073636927e-05,-1.252682335284483,2022-03-14
Kielce,Russian,2.008372711475492e-06,3.0052784372136703e-06,9.969057257381783e-07,192.26754911360877,2022-03-07
Kielce,Ukrainian,5.7280725501609185e-06,9.99688881491979e-06,4.2688162647588715e-06,413.1683086580319,2022-03-07
Kielce,Lithuanian,4.467957635638055e-06,1.120017909605639e-05,6.732221460418335e-06,360.54360168141386,2022-03-21
Kielce,German,1.8125378225665943e-06,2.1404784345909694e-06,3.279406120243751e-07,38.31186202123358,2022-03-14
Kielce,Japanese,1.2965774273154313e-07,1.5935747235923298e-07,2.9699729627689852e-08,108.13444931083835,2022-02-28
Kielce,Spanish; Castilian,3.6548462045737507e-07,4.7409183116872595e-07,1.0860721071135088e-07,180.48829341941067,2022-02-28
Kielce,French,6.12746244816275e-07,7.231559544432869e-07,1.104097096270119e-07,61.01114804022429,2022-02-28
Kielce,Italian,6.695199374668379e-07,8.184610703471133e-07,1.4894113288027538e-07,85.24942063926287,2022-02-28
Kielce,Chinese,1.3992733508906978e-07,2.1808608568915612e-07,7.815875060008634e-08,168.48999132822985,2022-03-14
Kielce,Persian,8.061155959688175e-08,1.6855145681077062e-07,8.793989721388887e-08,312.31246513826034,2022-02-28
Kielce,Portuguese,2.025753427151774e-07,2.7442760251721593e-07,7.185225980203854e-08,99.36280935348465,2022-02-28
Kielce,Arabic,1.754108419141556e-07,2.6819251605795007e-07,9.278167414379446e-08,60.04920063598718,2022-03-07
Kielce,Turkish,4.1975880917138125e-07,6.692863893499749e-07,2.4952758017859366e-07,134.8712237438539,2022-03-14
Kielce,Indonesian,4.412290319966719e-08,8.877341161875194e-08,4.465050841908475e-08,243.6320941925687,2022-03-14
Kielce,Dutch; Flemish,9.95039663083422e-07,1.357462229200695e-06,3.62422566117273e-07,21.099720127782472,2022-03-07
Kraków,English,6.3670320697605386e-06,8.540078753663268e-06,2.17304668390273e-06,113.36918712116923,2022-03-21
Kraków,Polish,0.00018036674043629466,0.00019626261595764657,1.5895875521351906e-05,8.798586810230402,2022-03-14
Kraków,Russian,1.5437359144696748e-05,2.1895258593844017e-05,6.457899449147269e-06,149.6050485722443,2022-03-07
Kraków,Ukrainian,3.36250212167955e-05,6.77442354316482e-05,3.4119214214852694e-05,343.2188323888389,2022-03-07
