Location,2022,2023,2024
European Union - 27 countries (from 2020),3752790,4204115,4186800
Belgium,61760,72970,85485
Bulgaria,146805,170250,68535
Czechia,431310,372145,387810
Denmark,31815,35920,36610
Germany,936375,1211785,1125985
Estonia,38235,35825,35330
Ireland,68475,100415,108880
Greece,21315,26595,32305
Spain,158310,191080,222190
France,65835,62440,56315
Croatia,18810,22865,25765
Italy,145005,160515,162295
Cyprus,12440,18980,21805
Latvia,35520,43430,47675
Lithuania,65110,74615,48050
Luxembourg,4490,4090,3745
Hungary,28690,33570,38725
Malta,1505,1950,2205
Netherlands,102550,111850,118870
Austria,86485,82375,84580
Poland,956760,951435,986920
Portugal,44225,50750,53510
Romania,99930,144455,177915
Slovenia,7600,8665,10040
Slovakia,94975,113590,130790
Finland,42900,58425,68580
Sweden,45560,43135,45890
Iceland,2240,3445,3990
Liechtenstein,385,565,700
Norway,32730,64580,78225
Switzerland,61205,64490,66560
